deal_id,company_id,contact_id,rep_id,stage_id,source_id,reason_id,amount,created_date,expected_close,actual_close,status
DEAL-0028,CMP-0138,CON-0201,REP-005,STG-07,SRC-007,LR-02,1264000,2026-01-28,2026-04-22,2026-04-13,Lost
DEAL-0029,CMP-0103,CON-0150,REP-002,STG-06,SRC-007,,539000,2026-04-25,2026-05-28,2026-05-31,Won
DEAL-0030,CMP-0086,CON-0128,REP-001,STG-07,SRC-006,LR-01,874000,2024-10-12,2024-10-31,2024-10-30,Lost
DEAL-0031,CMP-0128,CON-0184,REP-002,STG-02,SRC-003,,674000,2025-12-31,2026-02-10,,Open
DEAL-0032,CMP-0060,CON-0091,REP-005,STG-01,SRC-003,,1171000,2026-04-15,2026-05-25,,Open
DEAL-0033,CMP-0131,CON-0189,REP-003,STG-04,SRC-004,,842000,2025-05-28,2025-06-17,,Open
DEAL-0034,CMP-0052,CON-0078,REP-003,STG-06,SRC-004,,654000,2025-02-01,2025-04-01,2025-03-28,Won
DEAL-0035,CMP-0018,CON-0025,REP-005,STG-05,SRC-003,,951000,2026-06-05,2026-06-30,,Open
DEAL-0036,CMP-0059,CON-0089,REP-001,STG-04,SRC-005,,951000,2026-06-03,2026-07-18,,Open
DEAL-0037,CMP-0019,CON-0026,REP-004,STG-07,SRC-008,LR-04,598000,2026-06-04,2026-08-31,2026-07-01,Lost
DEAL-0038,CMP-0017,CON-0023,REP-004,STG-01,SRC-003,,1422000,2026-01-24,2026-02-16,,Open
DEAL-0039,CMP-0124,CON-0178,REP-003,STG-05,SRC-007,,383000,2026-06-28,2026-08-01,,Open
DEAL-0040,CMP-0112,CON-0162,REP-003,STG-02,SRC-002,,1839000,2024-11-19,2024-12-11,,Open
DEAL-0041,CMP-0031,CON-0047,REP-004,STG-06,SRC-002,,997000,2025-04-18,2025-06-07,2025-06-02,Won
DEAL-0042,CMP-0118,CON-0171,REP-004,STG-05,SRC-008,,738000,2026-04-07,2026-05-09,,Open
DEAL-0043,CMP-0010,CON-0013,REP-001,STG-03,SRC-003,,220000,2025-08-23,2025-09-28,,Open
DEAL-0044,CMP-0040,CON-0060,REP-004,STG-01,SRC-008,,1102000,2026-02-24,2026-03-25,,Open
DEAL-0045,CMP-0099,CON-0145,REP-003,STG-07,SRC-002,LR-04,595000,2025-06-29,2025-08-14,2025-08-17,Lost
DEAL-0046,CMP-0043,CON-0065,REP-003,STG-07,SRC-003,LR-04,2200000,2026-06-23,2026-08-04,2026-07-07,Lost
DEAL-0047,CMP-0103,CON-0149,REP-001,STG-06,SRC-005,,811000,2026-07-01,2026-08-03,2026-07-13,Won
DEAL-0048,CMP-0123,CON-0177,REP-005,STG-06,SRC-004,,1451000,2025-08-11,2025-10-25,2025-10-27,Won
DEAL-0049,CMP-0010,CON-0013,REP-005,STG-07,SRC-002,LR-02,1057000,2025-12-20,2026-03-21,2026-03-12,Lost
DEAL-0050,CMP-0004,CON-0006,REP-001,STG-07,SRC-006,LR-04,346000,2025-11-12,2026-01-02,2026-01-02,Lost
DEAL-0051,CMP-0132,CON-0191,REP-001,STG-06,SRC-004,,697000,2026-03-30,2026-05-19,2026-05-15,Won
DEAL-0052,CMP-0073,CON-0110,REP-001,STG-07,SRC-008,LR-06,635000,2026-07-01,2026-09-20,2026-07-15,Lost
DEAL-0053,CMP-0071,CON-0107,REP-002,STG-07,SRC-001,LR-03,378000,2025-07-25,2025-09-06,2025-08-29,Lost
DEAL-0054,CMP-0065,CON-0099,REP-003,STG-07,SRC-003,LR-05,464000,2026-03-22,2026-04-26,2026-04-30,Lost
DEAL-0055,CMP-0061,CON-0093,REP-001,STG-06,SRC-002,,1346000,2025-04-02,2025-06-06,2025-06-06,Won
DEAL-0056,CMP-0097,CON-0143,REP-006,STG-04,SRC-004,,542000,2025-06-13,2025-07-29,,Open
DEAL-0057,CMP-0082,CON-0122,REP-001,STG-03,SRC-007,,824000,2025-09-24,2025-10-20,,Open
DEAL-0058,CMP-0023,CON-0034,REP-005,STG-06,SRC-003,,493000,2025-11-21,2026-01-05,2026-01-09,Won
DEAL-0059,CMP-0088,CON-0131,REP-006,STG-06,SRC-006,,299000,2026-01-31,2026-03-12,2026-03-08,Won
DEAL-0060,CMP-0094,CON-0139,REP-001,STG-06,SRC-006,,579000,2025-09-17,2025-11-28,2025-11-24,Won
DEAL-0061,CMP-0016,CON-0021,REP-006,STG-06,SRC-002,,951000,2026-06-30,2026-09-04,2026-07-07,Won
DEAL-0062,CMP-0053,CON-0079,REP-003,STG-06,SRC-003,,665000,2026-06-24,2026-07-24,2026-07-16,Won
DEAL-0063,CMP-0111,CON-0161,REP-002,STG-07,SRC-007,LR-06,1173000,2026-01-09,2026-03-20,2026-03-21,Lost
DEAL-0064,CMP-0087,CON-0130,REP-004,STG-02,SRC-003,,755000,2026-04-11,2026-05-13,,Open
DEAL-0065,CMP-0020,CON-0028,REP-003,STG-02,SRC-005,,1380000,2025-11-12,2025-12-22,,Open
DEAL-0066,CMP-0006,CON-0008,REP-005,STG-07,SRC-006,LR-02,916000,2026-04-02,2026-06-06,2026-05-30,Lost
DEAL-0067,CMP-0082,CON-0122,REP-001,STG-07,SRC-004,LR-05,914000,2025-07-04,2025-07-30,2025-07-31,Lost
DEAL-0068,CMP-0065,CON-0099,REP-002,STG-07,SRC-008,LR-03,3393000,2026-02-01,2026-03-17,2026-03-14,Lost
DEAL-0069,CMP-0135,CON-0196,REP-005,STG-07,SRC-001,LR-01,1284000,2025-08-27,2025-10-20,2025-10-25,Lost
DEAL-0070,CMP-0074,CON-0112,REP-004,STG-07,SRC-002,LR-07,481000,2026-07-12,2026-09-14,2026-07-15,Lost
DEAL-0071,CMP-0131,CON-0190,REP-002,STG-04,SRC-003,,491000,2025-05-03,2025-06-16,,Open
DEAL-0072,CMP-0031,CON-0046,REP-003,STG-06,SRC-002,,1569000,2024-11-12,2024-12-19,2024-12-17,Won
DEAL-0073,CMP-0063,CON-0096,REP-006,STG-05,SRC-002,,300000,2026-07-09,2026-08-15,,Open
DEAL-0074,CMP-0020,CON-0027,REP-002,STG-06,SRC-004,,650000,2025-08-26,2025-09-30,2025-10-03,Won
DEAL-0075,CMP-0081,CON-0121,REP-004,STG-07,SRC-002,LR-05,999000,2026-02-13,2026-04-10,2026-04-14,Lost
DEAL-0076,CMP-0027,CON-0040,REP-001,STG-01,SRC-003,,872000,2026-03-29,2026-05-27,,Open
DEAL-0077,CMP-0069,CON-0104,REP-006,STG-06,SRC-006,,717000,2026-05-28,2026-08-06,2026-07-02,Won
DEAL-0078,CMP-0049,CON-0073,REP-006,STG-02,SRC-003,,443000,2026-05-31,2026-06-23,,Open
DEAL-0079,CMP-0027,CON-0041,REP-003,STG-03,SRC-002,,773000,2026-04-15,2026-05-18,,Open
DEAL-0080,CMP-0014,CON-0017,REP-002,STG-03,SRC-004,,696000,2024-12-15,2025-01-18,,Open
DEAL-0081,CMP-0072,CON-0109,REP-004,STG-04,SRC-008,,597000,2025-01-11,2025-02-26,,Open
DEAL-0082,CMP-0133,CON-0193,REP-001,STG-07,SRC-003,LR-04,1314000,2025-11-12,2026-01-25,2026-01-18,Lost
DEAL-0083,CMP-0028,CON-0042,REP-001,STG-06,SRC-005,,773000,2025-05-08,2025-07-15,2025-07-09,Won
DEAL-0084,CMP-0057,CON-0085,REP-004,STG-07,SRC-006,LR-04,807000,2026-05-29,2026-08-25,2026-07-05,Lost
DEAL-0085,CMP-0032,CON-0049,REP-006,STG-06,SRC-007,,833000,2026-07-04,2026-07-31,2026-07-15,Won
DEAL-0086,CMP-0114,CON-0165,REP-001,STG-02,SRC-005,,1001000,2026-03-12,2026-05-15,,Open
DEAL-0087,CMP-0059,CON-0089,REP-005,STG-04,SRC-002,,750000,2026-06-07,2026-07-01,,Open
DEAL-0088,CMP-0137,CON-0198,REP-002,STG-07,SRC-003,LR-05,492000,2025-11-17,2026-02-15,2026-02-12,Lost
DEAL-0089,CMP-0035,CON-0053,REP-002,STG-01,SRC-003,,321000,2026-02-14,2026-03-07,,Open
DEAL-0090,CMP-0012,CON-0015,REP-006,STG-07,SRC-006,LR-02,434000,2025-12-23,2026-02-05,2026-01-30,Lost
DEAL-0091,CMP-0082,CON-0122,REP-003,STG-03,SRC-004,,400000,2025-11-06,2025-12-17,,Open
DEAL-0092,CMP-0092,CON-0137,REP-003,STG-06,SRC-005,,220000,2026-03-08,2026-05-27,2026-05-20,Won
DEAL-0093,CMP-0139,CON-0202,REP-001,STG-07,SRC-003,LR-03,997000,2026-03-07,2026-04-01,2026-04-04,Lost
DEAL-0094,CMP-0122,CON-0175,REP-002,STG-01,SRC-006,,597000,2026-05-18,2026-07-01,,Open
DEAL-0095,CMP-0124,CON-0178,REP-006,STG-02,SRC-003,,1264000,2026-02-04,2026-03-15,,Open
DEAL-0096,CMP-0089,CON-0132,REP-006,STG-07,SRC-002,LR-04,568000,2025-01-18,2025-02-17,2025-02-16,Lost
DEAL-0097,CMP-0051,CON-0077,REP-005,STG-01,SRC-003,,1408000,2026-01-30,2026-03-27,,Open
DEAL-0098,CMP-0061,CON-0093,REP-003,STG-06,SRC-006,,2683000,2025-03-01,2025-05-15,2025-05-12,Won
DEAL-0099,CMP-0019,CON-0026,REP-004,STG-06,SRC-001,,1437000,2025-09-13,2025-10-15,2025-10-13,Won
DEAL-0100,CMP-0061,CON-0093,REP-005,STG-05,SRC-003,,1277000,2024-12-10,2025-02-04,,Open
DEAL-0101,CMP-0052,CON-0078,REP-005,STG-07,SRC-002,LR-04,648000,2025-10-11,2025-12-26,2025-12-31,Lost
DEAL-0102,CMP-0006,CON-0008,REP-006,STG-07,SRC-002,LR-06,940000,2025-09-15,2025-11-09,2025-11-10,Lost
DEAL-0103,CMP-0029,CON-0043,REP-006,STG-02,SRC-004,,1560000,2026-01-17,2026-03-06,,Open
DEAL-0104,CMP-0075,CON-0114,REP-006,STG-07,SRC-004,LR-07,791000,2024-09-06,2024-10-03,2024-09-29,Lost
DEAL-0105,CMP-0052,CON-0078,REP-005,STG-03,SRC-003,,2621000,2025-10-07,2025-11-16,,Open
DEAL-0106,CMP-0140,CON-0203,REP-002,STG-02,SRC-003,,1436000,2026-01-27,2026-03-31,,Open
DEAL-0107,CMP-0067,CON-0101,REP-001,STG-06,SRC-007,,1721000,2025-09-04,2025-10-25,2025-10-28,Won
DEAL-0108,CMP-0135,CON-0196,REP-003,STG-07,SRC-007,LR-04,326000,2026-01-17,2026-03-02,2026-03-05,Lost
DEAL-0109,CMP-0093,CON-0138,REP-001,STG-01,SRC-001,,3513000,2026-06-04,2026-07-10,,Open
DEAL-0110,CMP-0006,CON-0008,REP-005,STG-02,SRC-001,,691000,2026-02-13,2026-04-03,,Open
DEAL-0111,CMP-0029,CON-0043,REP-004,STG-06,SRC-005,,450000,2025-07-10,2025-09-24,2025-09-26,Won
DEAL-0112,CMP-0099,CON-0145,REP-003,STG-07,SRC-002,LR-02,1158000,2025-04-09,2025-06-11,2025-06-08,Lost
DEAL-0113,CMP-0077,CON-0116,REP-005,STG-02,SRC-006,,400000,2025-12-25,2026-02-27,,Open
DEAL-0114,CMP-0043,CON-0065,REP-004,STG-04,SRC-003,,1820000,2026-06-27,2026-08-31,,Open
DEAL-0115,CMP-0074,CON-0112,REP-006,STG-07,SRC-003,LR-01,3086000,2026-03-19,2026-05-13,2026-05-13,Lost
DEAL-0116,CMP-0127,CON-0183,REP-003,STG-05,SRC-004,,472000,2025-07-08,2025-09-04,,Open
DEAL-0117,CMP-0055,CON-0081,REP-001,STG-05,SRC-006,,1842000,2025-07-26,2025-09-30,,Open
DEAL-0118,CMP-0007,CON-0009,REP-005,STG-04,SRC-001,,785000,2025-07-18,2025-09-10,,Open
DEAL-0119,CMP-0044,CON-0066,REP-001,STG-06,SRC-006,,577000,2026-05-28,2026-07-30,2026-07-06,Won
DEAL-0120,CMP-0132,CON-0191,REP-006,STG-06,SRC-005,,1422000,2025-11-19,2026-01-22,2026-01-17,Won
DEAL-0121,CMP-0107,CON-0156,REP-003,STG-07,SRC-002,LR-03,308000,2026-06-04,2026-08-12,2026-07-10,Lost
DEAL-0122,CMP-0118,CON-0171,REP-006,STG-06,SRC-001,,693000,2025-10-28,2026-01-10,2026-01-07,Won
DEAL-0123,CMP-0128,CON-0184,REP-005,STG-06,SRC-005,,1315000,2026-02-27,2026-04-03,2026-03-30,Won
DEAL-0124,CMP-0017,CON-0022,REP-005,STG-07,SRC-005,LR-01,476000,2026-06-16,2026-08-24,2026-07-14,Lost
DEAL-0125,CMP-0040,CON-0060,REP-006,STG-06,SRC-007,,571000,2026-06-24,2026-07-29,2026-07-12,Won
DEAL-0126,CMP-0009,CON-0012,REP-002,STG-06,SRC-006,,1412000,2026-03-12,2026-04-26,2026-04-23,Won
DEAL-0127,CMP-0001,CON-0001,REP-006,STG-07,SRC-003,LR-06,220000,2026-06-06,2026-07-19,2026-07-12,Lost
DEAL-0128,CMP-0117,CON-0170,REP-002,STG-03,SRC-001,,1431000,2026-06-02,2026-06-29,,Open
DEAL-0129,CMP-0132,CON-0192,REP-006,STG-06,SRC-004,,332000,2026-07-03,2026-08-05,2026-07-19,Won
DEAL-0130,CMP-0022,CON-0032,REP-006,STG-07,SRC-006,LR-07,453000,2025-04-06,2025-05-30,2025-06-03,Lost
DEAL-0131,CMP-0102,CON-0148,REP-004,STG-05,SRC-008,,1326000,2026-05-16,2026-06-25,,Open
DEAL-0132,CMP-0075,CON-0114,REP-006,STG-06,SRC-004,,1152000,2025-09-17,2025-11-15,2025-11-09,Won
DEAL-0133,CMP-0010,CON-0013,REP-005,STG-05,SRC-004,,596000,2025-05-15,2025-06-05,,Open
DEAL-0134,CMP-0129,CON-0185,REP-005,STG-05,SRC-003,,1033000,2026-04-21,2026-05-13,,Open
DEAL-0135,CMP-0122,CON-0175,REP-004,STG-06,SRC-005,,550000,2026-06-10,2026-08-04,2026-07-17,Won
DEAL-0136,CMP-0080,CON-0119,REP-001,STG-02,SRC-002,,704000,2025-03-08,2025-05-08,,Open
DEAL-0137,CMP-0100,CON-0146,REP-006,STG-07,SRC-002,LR-06,602000,2025-08-13,2025-09-29,2025-09-26,Lost
DEAL-0138,CMP-0056,CON-0083,REP-005,STG-07,SRC-007,LR-07,918000,2026-06-22,2026-07-13,2026-07-18,Lost
DEAL-0139,CMP-0111,CON-0161,REP-006,STG-07,SRC-005,LR-05,862000,2026-06-16,2026-08-18,2026-07-09,Lost
DEAL-0140,CMP-0063,CON-0095,REP-001,STG-01,SRC-005,,752000,2026-07-06,2026-09-03,,Open
DEAL-0141,CMP-0139,CON-0202,REP-005,STG-02,SRC-004,,1636000,2026-07-15,2026-08-25,,Open
DEAL-0142,CMP-0009,CON-0011,REP-004,STG-02,SRC-003,,521000,2026-01-01,2026-03-10,,Open
DEAL-0143,CMP-0025,CON-0038,REP-002,STG-05,SRC-005,,717000,2026-02-04,2026-03-20,,Open
DEAL-0144,CMP-0136,CON-0197,REP-002,STG-07,SRC-006,LR-02,1039000,2025-07-07,2025-08-06,2025-08-08,Lost
DEAL-0145,CMP-0041,CON-0061,REP-006,STG-06,SRC-005,,1271000,2026-01-10,2026-02-11,2026-02-05,Won
DEAL-0146,CMP-0044,CON-0066,REP-002,STG-01,SRC-005,,648000,2026-05-06,2026-07-01,,Open
DEAL-0147,CMP-0111,CON-0161,REP-001,STG-07,SRC-005,LR-04,821000,2025-10-25,2026-01-26,2026-01-22,Lost
DEAL-0148,CMP-0027,CON-0041,REP-005,STG-04,SRC-007,,299000,2025-12-06,2026-01-22,,Open
DEAL-0149,CMP-0072,CON-0109,REP-005,STG-01,SRC-002,,1034000,2025-08-23,2025-09-26,,Open
DEAL-0150,CMP-0041,CON-0062,REP-003,STG-03,SRC-002,,738000,2026-01-28,2026-04-01,,Open
DEAL-0151,CMP-0028,CON-0042,REP-003,STG-06,SRC-002,,1033000,2025-06-20,2025-08-13,2025-08-06,Won
DEAL-0152,CMP-0136,CON-0197,REP-005,STG-07,SRC-007,LR-07,1363000,2026-01-21,2026-03-30,2026-03-25,Lost
DEAL-0153,CMP-0028,CON-0042,REP-003,STG-05,SRC-003,,1085000,2025-05-06,2025-06-16,,Open
DEAL-0154,CMP-0014,CON-0017,REP-003,STG-07,SRC-006,LR-01,748000,2025-02-23,2025-04-15,2025-04-13,Lost
DEAL-0155,CMP-0095,CON-0140,REP-001,STG-07,SRC-005,LR-03,1009000,2026-07-03,2026-07-21,2026-07-03,Lost
DEAL-0156,CMP-0122,CON-0176,REP-005,STG-07,SRC-004,LR-04,622000,2025-10-25,2026-01-02,2026-01-05,Lost
DEAL-0157,CMP-0018,CON-0024,REP-002,STG-05,SRC-007,,934000,2026-05-31,2026-08-04,,Open
DEAL-0158,CMP-0100,CON-0146,REP-006,STG-03,SRC-002,,457000,2025-08-27,2025-11-01,,Open
DEAL-0159,CMP-0076,CON-0115,REP-005,STG-07,SRC-003,LR-07,993000,2025-12-30,2026-03-03,2026-03-05,Lost
DEAL-0160,CMP-0117,CON-0169,REP-004,STG-03,SRC-007,,946000,2026-06-16,2026-08-06,,Open
DEAL-0161,CMP-0018,CON-0024,REP-003,STG-06,SRC-002,,445000,2026-06-19,2026-09-01,2026-07-06,Won
DEAL-0162,CMP-0137,CON-0199,REP-005,STG-07,SRC-005,LR-07,1325000,2025-12-24,2026-03-20,2026-03-13,Lost
DEAL-0163,CMP-0087,CON-0130,REP-003,STG-05,SRC-006,,485000,2026-07-15,2026-09-06,,Open
DEAL-0164,CMP-0118,CON-0171,REP-002,STG-07,SRC-006,LR-07,317000,2025-08-29,2025-09-19,2025-09-18,Lost
DEAL-0165,CMP-0051,CON-0077,REP-006,STG-07,SRC-003,LR-02,1357000,2025-11-22,2026-01-24,2026-01-18,Lost
DEAL-0166,CMP-0133,CON-0193,REP-006,STG-06,SRC-003,,1467000,2025-10-11,2025-11-20,2025-11-23,Won
DEAL-0167,CMP-0088,CON-0131,REP-003,STG-06,SRC-006,,1209000,2025-06-04,2025-08-22,2025-08-16,Won
DEAL-0168,CMP-0018,CON-0025,REP-003,STG-07,SRC-005,LR-04,618000,2026-06-14,2026-08-03,2026-07-14,Lost
DEAL-0169,CMP-0130,CON-0188,REP-002,STG-06,SRC-004,,1908000,2026-06-02,2026-08-05,2026-07-13,Won
DEAL-0170,CMP-0112,CON-0162,REP-004,STG-07,SRC-007,LR-05,861000,2025-07-15,2025-08-08,2025-08-05,Lost
DEAL-0171,CMP-0043,CON-0064,REP-005,STG-07,SRC-002,LR-04,749000,2026-06-05,2026-08-11,2026-07-16,Lost
DEAL-0172,CMP-0077,CON-0116,REP-006,STG-07,SRC-003,LR-07,1436000,2025-07-15,2025-10-05,2025-10-03,Lost
DEAL-0173,CMP-0055,CON-0081,REP-001,STG-05,SRC-006,,682000,2025-12-11,2026-01-01,,Open
DEAL-0174,CMP-0077,CON-0116,REP-006,STG-04,SRC-004,,731000,2026-03-23,2026-05-09,,Open
DEAL-0175,CMP-0136,CON-0197,REP-005,STG-02,SRC-004,,1890000,2025-10-04,2025-12-07,,Open
DEAL-0176,CMP-0126,CON-0182,REP-004,STG-06,SRC-008,,270000,2026-04-07,2026-05-06,2026-05-11,Won
DEAL-0177,CMP-0031,CON-0047,REP-006,STG-06,SRC-004,,556000,2024-12-10,2025-01-18,2025-01-23,Won
DEAL-0178,CMP-0137,CON-0198,REP-004,STG-06,SRC-004,,440000,2026-06-01,2026-08-01,2026-07-11,Won
DEAL-0179,CMP-0062,CON-0094,REP-002,STG-03,SRC-006,,819000,2026-06-02,2026-07-17,,Open
DEAL-0180,CMP-0099,CON-0145,REP-006,STG-07,SRC-001,LR-03,1121000,2025-11-03,2025-12-05,2025-12-10,Lost
DEAL-0181,CMP-0107,CON-0156,REP-002,STG-07,SRC-004,LR-05,938000,2026-03-16,2026-04-11,2026-04-13,Lost
DEAL-0182,CMP-0068,CON-0103,REP-001,STG-02,SRC-002,,984000,2026-01-15,2026-02-14,,Open
DEAL-0183,CMP-0064,CON-0098,REP-006,STG-07,SRC-006,LR-04,829000,2026-07-06,2026-08-11,2026-07-01,Lost
DEAL-0184,CMP-0064,CON-0097,REP-006,STG-06,SRC-006,,435000,2026-06-16,2026-08-28,2026-07-03,Won
DEAL-0185,CMP-0121,CON-0174,REP-003,STG-06,SRC-007,,1296000,2026-01-22,2026-03-19,2026-03-14,Won
DEAL-0186,CMP-0055,CON-0082,REP-004,STG-02,SRC-005,,1229000,2026-03-04,2026-05-08,,Open
DEAL-0187,CMP-0040,CON-0060,REP-001,STG-07,SRC-008,LR-01,861000,2025-12-24,2026-01-19,2026-01-14,Lost
DEAL-0188,CMP-0051,CON-0077,REP-006,STG-07,SRC-008,LR-07,720000,2025-10-03,2025-10-28,2025-10-30,Lost
DEAL-0189,CMP-0028,CON-0042,REP-001,STG-06,SRC-006,,410000,2025-04-20,2025-06-22,2025-06-18,Won
DEAL-0190,CMP-0055,CON-0082,REP-004,STG-07,SRC-002,LR-01,1358000,2025-12-05,2026-01-05,2025-12-30,Lost
DEAL-0191,CMP-0016,CON-0020,REP-004,STG-07,SRC-003,LR-05,846000,2026-06-24,2026-07-23,2026-07-06,Lost
DEAL-0192,CMP-0013,CON-0016,REP-004,STG-01,SRC-008,,2111000,2026-06-24,2026-08-05,,Open
DEAL-0193,CMP-0102,CON-0148,REP-005,STG-06,SRC-008,,595000,2026-05-30,2026-07-24,2026-07-20,Won
DEAL-0194,CMP-0011,CON-0014,REP-006,STG-06,SRC-006,,674000,2025-01-23,2025-03-13,2025-03-04,Won
DEAL-0195,CMP-0080,CON-0119,REP-003,STG-07,SRC-001,LR-02,485000,2025-05-01,2025-06-28,2025-06-29,Lost
DEAL-0196,CMP-0110,CON-0160,REP-002,STG-01,SRC-006,,592000,2026-07-05,2026-08-04,,Open
DEAL-0197,CMP-0102,CON-0148,REP-006,STG-06,SRC-006,,618000,2026-07-13,2026-09-02,2026-07-10,Won
DEAL-0198,CMP-0063,CON-0095,REP-005,STG-07,SRC-003,LR-05,920000,2026-07-10,2026-10-07,2026-07-08,Lost
DEAL-0199,CMP-0028,CON-0042,REP-001,STG-03,SRC-008,,572000,2026-04-25,2026-07-03,,Open
DEAL-0200,CMP-0131,CON-0189,REP-002,STG-07,SRC-006,LR-04,2011000,2025-09-14,2025-11-30,2025-11-23,Lost
DEAL-0201,CMP-0117,CON-0170,REP-003,STG-04,SRC-007,,670000,2026-06-08,2026-07-22,,Open
DEAL-0202,CMP-0086,CON-0128,REP-004,STG-07,SRC-001,LR-04,594000,2025-01-15,2025-02-28,2025-02-27,Lost
DEAL-0203,CMP-0013,CON-0016,REP-003,STG-07,SRC-002,LR-05,1010000,2026-07-04,2026-09-21,2026-07-18,Lost
DEAL-0204,CMP-0005,CON-0007,REP-001,STG-03,SRC-003,,743000,2026-06-23,2026-07-28,,Open
DEAL-0205,CMP-0045,CON-0068,REP-003,STG-07,SRC-006,LR-07,498000,2025-07-16,2025-09-07,2025-09-03,Lost
DEAL-0206,CMP-0023,CON-0033,REP-002,STG-03,SRC-004,,1044000,2025-10-29,2025-11-28,,Open
DEAL-0207,CMP-0121,CON-0174,REP-002,STG-06,SRC-002,,1307000,2025-08-21,2025-10-11,2025-10-04,Won
DEAL-0208,CMP-0029,CON-0043,REP-003,STG-06,SRC-005,,814000,2025-11-02,2026-01-22,2026-01-16,Won
DEAL-0209,CMP-0040,CON-0060,REP-004,STG-07,SRC-004,LR-02,360000,2025-12-02,2025-12-26,2025-12-18,Lost
DEAL-0210,CMP-0137,CON-0198,REP-002,STG-02,SRC-003,,770000,2026-01-11,2026-02-26,,Open
DEAL-0211,CMP-0115,CON-0166,REP-001,STG-02,SRC-005,,1219000,2026-04-25,2026-05-31,,Open
DEAL-0212,CMP-0031,CON-0046,REP-001,STG-06,SRC-008,,771000,2025-02-17,2025-03-12,2025-03-15,Won
DEAL-0213,CMP-0054,CON-0080,REP-001,STG-06,SRC-008,,307000,2025-06-28,2025-08-27,2025-08-24,Won
DEAL-0214,CMP-0073,CON-0111,REP-005,STG-06,SRC-008,,1308000,2026-04-01,2026-06-16,2026-06-12,Won
DEAL-0215,CMP-0093,CON-0138,REP-004,STG-05,SRC-003,,871000,2026-06-21,2026-08-26,,Open
