company_id,name,type,region_id,created_date
CMP-0076,The Verdant Hotel,Hotel,REG-003,2025-05-20
CMP-0077,Petal Boutique,Boutique,REG-001,2025-06-21
CMP-0078,Radisson Blu,Hotel,REG-003,2025-06-13
CMP-0079,Haven Gift House,Gift Shop,REG-001,2026-04-25
CMP-0080,Nova Gift House,Gift Shop,REG-006,2024-11-02
CMP-0081,Palm Home & Living,Boutique,REG-004,2025-02-19
CMP-0082,Nestle Nigeria,Corporate,REG-001,2024-11-23
CMP-0083,Verdant Interiors,Boutique,REG-001,2025-01-07
CMP-0084,Luxe Home & Living,Boutique,REG-001,2026-04-16
CMP-0085,Bloom Hotel,Hotel,REG-008,2026-05-10
CMP-0086,Terra Interiors,Boutique,REG-002,2024-08-20
CMP-0087,Ember Gift Emporium,Gift Shop,REG-005,2025-10-06
CMP-0088,Ada Gifts,Gift Shop,REG-003,2024-12-30
CMP-0089,Haven Interiors,Boutique,REG-003,2024-12-01
CMP-0090,Honeywell Group,Corporate,REG-001,2025-02-09
CMP-0091,Sage Interiors,Boutique,REG-007,2024-12-03
CMP-0092,The Nneka Hotel,Hotel,REG-001,2025-06-28
CMP-0093,Adire Living,Boutique,REG-003,2026-06-17
CMP-0094,Transcorp Hilton,Corporate,REG-004,2025-09-04
CMP-0095,Petal Interiors,Boutique,REG-004,2025-12-08
CMP-0096,Marigold Living,Boutique,REG-007,2025-06-30
CMP-0097,Baobab Interiors,Boutique,REG-001,2024-07-29
CMP-0098,Unilever Nigeria,Corporate,REG-002,2024-09-16
CMP-0099,Coscharis Group,Corporate,REG-001,2025-01-24
CMP-0100,Ember Gift House,Gift Shop,REG-002,2025-01-06
CMP-0101,Nestle Nigeria,Corporate,REG-001,2026-03-01
CMP-0102,Unilever Nigeria,Corporate,REG-001,2026-03-03
CMP-0103,Ada Hotel,Hotel,REG-001,2026-03-10
CMP-0104,Olive Boutique,Boutique,REG-001,2025-10-09
CMP-0105,Ember Gift House,Gift Shop,REG-002,2025-08-13
CMP-0106,Transcorp Hilton,Hotel,REG-003,2025-10-18
CMP-0107,Indigo Boutique,Boutique,REG-003,2025-05-01
CMP-0108,Amber Boutique,Boutique,REG-001,2025-11-01
CMP-0109,Zuri Gift Emporium,Gift Shop,REG-001,2026-01-27
CMP-0110,Amber Boutique,Boutique,REG-001,2026-01-05
CMP-0111,Stallion Group,Corporate,REG-003,2025-09-23
CMP-0112,Verdant Living,Boutique,REG-001,2024-08-29
CMP-0113,Harmattan Home & Living,Boutique,REG-001,2025-12-10
CMP-0114,Sahara Gift Emporium,Gift Shop,REG-001,2025-04-02
CMP-0115,Olive Interiors,Boutique,REG-002,2025-12-23
CMP-0116,Nneka Living,Boutique,REG-001,2025-08-02
CMP-0117,Radisson Blu,Hotel,REG-003,2026-03-29
CMP-0118,Amber Gifts,Gift Shop,REG-003,2025-03-14
CMP-0119,Zuri Boutique,Boutique,REG-004,2026-05-03
CMP-0120,Willow Home & Living,Boutique,REG-004,2026-03-03
CMP-0121,Ember Gift Emporium,Gift Shop,REG-004,2025-03-09
CMP-0122,Unilever Nigeria,Corporate,REG-001,2025-06-23
CMP-0123,Serene Hotel,Hotel,REG-005,2025-07-27
CMP-0124,Olive Interiors,Boutique,REG-003,2026-01-09
CMP-0125,Haven Boutique,Boutique,REG-002,2025-11-15
CMP-0126,Ember Boutique,Boutique,REG-003,2026-03-09
CMP-0127,Ada Living,Boutique,REG-001,2025-04-05
CMP-0128,Nneka Suites,Hotel,REG-002,2025-07-08
CMP-0129,Sage Boutique,Boutique,REG-005,2025-05-18
CMP-0130,Radisson Blu,Hotel,REG-006,2026-04-18
CMP-0131,Serene Gift House,Gift Shop,REG-007,2025-02-18
CMP-0132,Serene Hotel,Hotel,REG-002,2025-09-04
CMP-0133,Luxe Boutique,Boutique,REG-002,2024-10-12
CMP-0134,Zuri Gift Emporium,Gift Shop,REG-006,2026-03-08
CMP-0135,Adire Gift House,Gift Shop,REG-001,2025-04-15
CMP-0136,Coral Gift House,Gift Shop,REG-006,2025-03-15
CMP-0137,Zuri Interiors,Boutique,REG-002,2025-09-01
CMP-0138,Ada Living,Boutique,REG-001,2025-07-04
CMP-0139,Stallion Group,Corporate,REG-001,2026-03-06
CMP-0140,Palm Interiors,Boutique,REG-006,2025-07-27
